Date,Ticker,Name,Sector,Industry,Country,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend %,Employees,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,SMA20,EPS (ttm),SMA50,ROA,ROE,ROI,Gross Margin,Oper. Margin,Profit Margin,SMA200,Price,ESG Totalesg,ESG Environmentscore,ESG Socialscore,ESG Governancescore,ESG Highestcontroversy,ESG Percentile
2021.08.01,CCVI,Churchill Capital Corp VI,Financial,Shell Companies,USA,543720000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.008,NA,-0.0035,NA,NA,NA,NA,NA,NA,-0.0079,9.85,NA,NA,NA,NA,NA,NA
2021.08.01,CCXI,"ChemoCentryx, Inc.",Healthcare,Biotechnology,USA,1040000000,-63400000,69200000,5.19,5.32,NA,NA,133,NA,NA,NA,15.09,2.85,2.78,NA,7.1,7.1,0.07,0.04,-0.0279,-0.92,0.13,-0.121,-0.161,-0.135,NA,-0.9,-0.915,-0.6626,14.78,NA,NA,NA,NA,NA,NA
2021.08.01,CD,Chindata Group Holdings Limited,Technology,Information Technology Services,China,4580000000,-32700000.000000004,322500000,4.2,2.79,NA,NA,981,NA,NA,NA,14.19,2.97,4.47,NA,4.3,4.3,0.48,0.44,-0.082,-0.12,-0.157,-0.016,-0.03,-0.003,0.403,0.052,-0.101,-0.2426,12.48,NA,NA,NA,NA,NA,NA
2021.08.01,CDAK,"Codiak BioSciences, Inc.",Healthcare,Biotechnology,USA,391840000,NA,15970000,3.38,NA,NA,NA,105,NA,NA,NA,24.53,5.12,NA,NA,8.7,8.7,0.37,0.37,0.0071,NA,-0.1481,NA,NA,-2.296,NA,NA,NA,-0.0457,17.3,NA,NA,NA,NA,NA,NA
2021.08.01,CDAY,Ceridian HCM Holding Inc.,Technology,Software - Application,USA,14640000000,-31800000,854300000,14.52,2.28,NA,NA,5974,NA,170.54,NA,17.14,6.78,43.12,NA,1.1,1.1,0.52,0.52,0.0079,-0.21,0.0565,-0.005,-0.015,-0.001,0.391,-0.058,-0.037,0.0528,98.4,NA,NA,NA,NA,NA,NA
2021.08.01,CDE,"Coeur Mining, Inc.",Basic Materials,Gold,USA,1960000000,39600000,814400000,3.49,0.48,NA,NA,1959,46.54,16.76,NA,2.4,2.16,15.76,782.41,1.1,1.3,0.48,0.44,-0.0543,0.16,-0.176,0.049,0.099,0.047,0.473,0.151,0.09,-0.1612,7.54,NA,NA,NA,NA,NA,NA
2021.08.01,CDEV,"Centennial Resource Development, Inc.",Energy,Oil & Gas E&P,USA,1500000000,-169500000,580100000,9.17,0.04,NA,NA,151,NA,6.69,NA,2.58,0.57,137.55,10.55,0.4,0.4,0.42,0.42,-0.1388,-0.61,-0.1451,-0.043,-0.064,-0.15,0.762,0.01,-0.292,0.4438,5.21,NA,NA,NA,NA,NA,NA
2021.08.01,CDK,"CDK Global, Inc.",Technology,Software - Application,USA,5870000000,207800000,1700000000,3.69,9.25,0.6,0.0125,9000,28.28,15.9,2.83,3.45,13.01,5.19,16.01,1.5,1.5,4.64,3.53,-0.0182,1.7,-0.053,0.343,-3.696,0.206,0.475,0.244,0.605,-0.0556,47.99,20.8,1.29,14,5.52,2,24.27
2021.08.01,CDLX,"Cardlytics, Inc.",Communication Services,Internet Content & Information,USA,4210000000,-66800000,194600000,25.41,18.35,NA,NA,578,NA,NA,NA,21.64,4.96,6.86,NA,7.6,7.6,0.24,0.24,0.0088,-2.38,0.0812,-0.132,-0.226,-0.163,0.42,-0.33,-0.343,0.055,125.96,NA,NA,NA,NA,NA,NA
2021.08.01,CDMO,"Avid Bioservices, Inc.",Healthcare,Biotechnology,USA,1590000000,3300000,95900000,1.28,2.73,NA,NA,252,450,75.44,30,16.62,20.04,9.38,74.83,2.8,2.9,1.25,1.25,-0.0075,0.06,0.0692,0.02,0.051,0.07,0.306,0.128,0.035,0.5094,25.65,NA,NA,NA,NA,NA,NA
2021.08.01,CDNA,"CareDx, Inc",Healthcare,Diagnostics & Research,USA,4550000000,-13600000,221200000,9.19,6.82,NA,NA,456,NA,150.07,NA,20.59,9.14,12.31,160.39,7.6,7.8,0,0,-0.0073,-0.29,-0.0185,NA,NA,-0.06,0.673,-0.052,NA,0.1375,84.04,NA,NA,NA,NA,NA,NA
2021.08.01,CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,USA,40350000000,678400000,2890000000,9.2,3.1,NA,NA,8800,60.89,42.74,5.2,13.96,16.05,47.63,47.56,1.5,1.6,0,0.14,0.0533,2.42,0.106,0.167,0.273,0.212,0.89,0.257,0.235,0.1371,147.65,17.04,1.16,10.48,5.4,0,12.89
2021.08.01,CDOR,"Condor Hospitality Trust, Inc.",Real Estate,REIT - Hotel & Motel,USA,71710000,-18900000,31600000,5.33,0.29,0.78,0.1318,6,NA,NA,NA,2.27,1.11,20.49,NA,NA,NA,2.87,2.87,-0.0214,-1.57,0.1102,-0.068,-0.271,-0.036,0.132,-0.345,-0.597,0.3899,5.92,NA,NA,NA,NA,NA,NA
