Date,Ticker,Sector,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,SMA20,EPS (ttm),EPS next Y...17,EPS next Q,EPS this Y,EPS next Y...20,EPS next 5Y,EPS past 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Beta,ATR,Prev Close,Price,Change,ESG Totalesg,ESG Environmentscore,ESG Socialscore,ESG Governancescore,ESG Highestcontroversy,ESG Percentile,P/E_diff,Forward P/E_diff,PEG_diff,P/S_diff,P/B_diff,P/C_diff,P/FCF_diff,Quick Ratio_diff,Current Ratio_diff,Debt/Eq_diff,LT Debt/Eq_diff,SMA20_diff,EPS (ttm)_diff,EPS next Y...17_diff,EPS next Q_diff,EPS this Y_diff,EPS next Y...20_diff,EPS next 5Y_diff,EPS past 5Y_diff,Sales past 5Y_diff,Sales Q/Q_diff,EPS Q/Q_diff,Beta_diff,ATR_diff,Prev Close_diff,Price_diff,Change_diff,ESG Totalesg_diff,ESG Environmentscore_diff,ESG Socialscore_diff,ESG Governancescore_diff,ESG Highestcontroversy_diff
2021.08.13,A,Healthcare,52.98,34.22,4.91,8.21,10,34.63,46.67,1.5,2,0.61,0.57,0.0355,2.98,4.62,0.99,-0.316,0.1162,0.108,0.12,0.057,0.232,1.173,0.99,1.76,158.15,158.15,0,16.57,0.87,9.44,6.26,2,11.74,0.8200000000000003,0.5300000000000011,0.08000000000000007,0.120000000000001,0.16000000000000014,0.5200000000000031,0.7000000000000028,0,0,0,0,0.003499999999999996,0,0,0,0,0,0,0,0,0,0,-0.010000000000000009,0.020000000000000018,3.1100000000000136,2.450000000000017,-0.0043,0,0,0,0,0
2021.08.14,A,Healthcare,53.34,34.45,4.94,8.27,10.07,34.86,46.99,1.5,2,0.61,0.57,0.0426,2.98,4.62,0.99,-0.316,0.1162,0.108,0.12,0.057,0.232,1.173,0.99,1.79,158.15,159.23,0.0068,16.57,0.87,9.44,6.26,2,11.74,1.1800000000000068,0.7600000000000051,0.11000000000000032,0.17999999999999972,0.23000000000000043,0.75,1.0200000000000031,0,0,0,0,0.010599999999999998,0,0,0,0,0,0,0,0,0,0,-0.010000000000000009,0.050000000000000044,3.1100000000000136,3.530000000000001,0.0024999999999999996,0,0,0,0,0
2021.08.15,A,Healthcare,53.34,34.39,4.94,8.25,10.07,34.78,46.87,1.5,2,0.61,0.57,0.0426,2.98,4.63,0.99,-0.316,0.1178,0.108,0.12,0.057,0.232,1.173,0.99,1.79,158.15,159.23,0.0068,16.57,0.87,9.44,6.26,2,11.74,1.1800000000000068,0.7000000000000028,0.11000000000000032,0.16000000000000014,0.23000000000000043,0.6899999999999977,0.9299999999999997,0,0,0,0,0.010599999999999998,0,0.009999999999999787,0,0,0.0016000000000000042,0,0,0,0,0,0,0.050000000000000044,3.1100000000000136,3.530000000000001,0.0024999999999999996,0,0,0,0,0
2021.08.16,A,Healthcare,53.34,34.39,4.94,8.25,10.07,34.78,46.87,1.5,2,0.61,0.57,0.05,2.98,4.63,0.99,-0.316,0.1178,0.108,0.12,0.057,0.232,1.173,0.99,1.79,159.23,160.9,0.0105,16.57,0.87,9.44,6.26,2,11.74,0.9000000000000057,0.5200000000000031,0.08000000000000007,0.11999999999999922,0.16999999999999993,0.5,0.6799999999999997,0,0,0,0,0.017,0,0.009999999999999787,0,0,0.0016000000000000042,0,0,0,0,0,0,0.040000000000000036,2.6899999999999977,4.3799999999999955,0.0106,0,0,0,0,0
2021.08.17,A,Healthcare,54.29,35,5.03,8.4,10.24,35.4,47.7,1.5,2,0.61,0.57,0.0576,2.98,4.63,0.99,-0.316,0.1178,0.108,0.12,0.057,0.232,1.173,0.99,1.95,159.23,162.07,0.0178,16.57,0.87,9.44,6.26,2,11.74,1.8500000000000014,1.1400000000000006,0.16999999999999993,0.2699999999999996,0.34999999999999964,1.1299999999999955,1.5100000000000051,0,0,0,0,0.029699999999999997,0,0.009999999999999787,0,0,0.0016000000000000042,0,0,0,0,0,0,0.21999999999999997,2.7099999999999795,5.9599999999999795,0.0204,0,0,0,0,0
2021.08.18,A,Healthcare,54.61,35.21,5.06,8.45,10.3,35.6,47.98,1.5,2,0.61,0.57,0.0548,2.98,4.63,0.99,-0.316,0.1178,0.108,0.12,0.057,0.232,1.173,0.99,2.2,160.91,163.02,0.0131,16.57,0.87,9.44,6.26,2,11.74,1.6300000000000026,0.990000000000002,0.14999999999999947,0.23999999999999844,0.3000000000000007,0.9699999999999989,1.3099999999999952,0,0,0,0,0.019300000000000005,0,0.009999999999999787,0,0,0.0016000000000000042,0,0,0,0,0,0,0.44000000000000017,2.759999999999991,4.8700000000000045,0.0131,0,0,0,0,0
2021.08.19,A,Healthcare,56.17,36.21,5.2,8.69,10.6,36.62,49.35,1.5,2,0.61,0.57,0.08,2.98,4.63,0.99,-0.316,0.1178,0.108,0.12,0.057,0.232,1.173,0.99,2.58,163.02,167.67,0.0285,16.57,0.87,9.44,6.26,2,11.74,2.8299999999999983,1.759999999999998,0.2599999999999998,0.41999999999999993,0.5299999999999994,1.759999999999998,2.3599999999999994,0,0,0,0,0.0374,0,0.009999999999999787,0,0,0.0016000000000000042,0,0,0,0,0,0,0.79,4.8700000000000045,8.439999999999998,0.0217,0,0,0,0,0
2021.08.20,A,Healthcare,56.32,36.31,5.22,8.71,10.63,36.72,49.49,1.5,2,0.61,0.57,0.0769,2.98,4.63,0.99,-0.316,0.1178,0.108,0.12,0.057,0.232,1.173,0.99,2.68,167.67,168.13,0.0027,16.57,0.87,9.44,6.26,2,11.74,2.979999999999997,1.9200000000000017,0.27999999999999936,0.46000000000000085,0.5600000000000005,1.9399999999999977,2.6200000000000045,0,0,0,0,0.0343,0,0,0,0,0,0,0,0,0,0,0,0.8900000000000001,9.519999999999982,8.900000000000006,-0.0040999999999999995,0,0,0,0,0
2021.08.21,A,Healthcare,56.32,36.31,5.22,8.71,10.63,36.72,49.49,1.5,2,0.61,0.57,0.0769,2.98,4.63,0.99,-0.316,0.1178,0.108,0.12,0.057,0.232,1.173,0.99,2.68,167.67,168.13,0.0027,16.57,0.87,9.44,6.26,2,11.74,2.979999999999997,1.9200000000000017,0.27999999999999936,0.46000000000000085,0.5600000000000005,1.9399999999999977,2.6200000000000045,0,0,0,0,0.026899999999999993,0,0,0,0,0,0,0,0,0,0,0,0.8900000000000001,8.439999999999998,7.22999999999999,-0.0078000000000000005,0,0,0,0,0
2021.08.22,A,Healthcare,52.38,35.33,0.98,8.28,10.63,36.87,58.68,1.5,2,0.61,0.57,0.0769,3.21,4.76,1.17,-0.316,0.1109,0.533,0.12,0.057,0.232,1.173,0.99,2.68,167.67,168.13,0.0027,16.57,0.87,9.44,6.26,2,11.74,-1.9099999999999966,0.3299999999999983,-4.050000000000001,-0.120000000000001,0.39000000000000057,1.4699999999999989,10.979999999999997,0,0,0,0,0.019299999999999998,0.22999999999999998,0.1299999999999999,0.17999999999999994,0,-0.006900000000000003,0.42500000000000004,0,0,0,0,0,0.7300000000000002,8.439999999999998,6.060000000000002,-0.015099999999999999,0,0,0,0,0
